ai,a,i,
ei,ɤ,i,
ɑʊ,ɑ,ʊ,
oʊ,o,ʊ,
ia,i,a,
iɛ,i,ε,
ɥœ,ɥ,ε,
wa,w,a,
wɔ,w,ɔ,
iɑʊ,i,ɑ,ʊ
ioʊ,i,o,ʊ
wai,w,a,i
wei,w,e,i
